"lesion","lesion_name","mean","std","right_p","right_p_adj","both_p","both_p_adj","left_p","left_p_adj","t"
"x156","UNC_L","-10.62953520624013","3.229559366622752",1.0,"1.0",0.0,"0.0",0.0,"0.0",-104.08089124497856
"x150","SS_L","-6.683668513663924","2.3640910736382983",1.0,"1.0",0.0,"0.0",0.0,"0.0",-89.40271322205386
"x40","MTG_L_pole","-7.87543739078142","2.8845800832478856",1.0,"1.0",0.0,"0.0",0.0,"0.0",-86.33603161012566
"x119","SCR_R","-4.242954058562143","1.5799645419133659",1.0,"1.0",0.0,"0.0",0.0,"0.0",-84.92215158362418
"x50","SOG_L","-6.961264848491233","2.8018957300630327",1.0,"1.0",0.0,"0.0",0.0,"0.0",-78.56627953961733
"x155","SLF_R","-8.179989790715647","3.2980467448101147",1.0,"1.0",0.0,"0.0",0.0,"0.0",-78.43248133547853
"x121","PCR_R","-1.7601188118827582","0.7156965622952163",1.0,"1.0",0.0,"0.0",0.0,"0.0",-77.7701709256367
"x58","LG_L","-3.7397151576031713","1.5593689476909076",1.0,"1.0",0.0,"0.0",0.0,"0.0",-75.83848399567906
"x25","PrCG_R","-3.9328239059417545","1.6847300758144386",1.0,"1.0",0.0,"0.0",0.0,"0.0",-73.82002231499055
"x7","MFG_R","-0.1550698991326452","0.06834152414515922",1.0,"1.0",0.0,"0.0",0.0,"0.0",-71.75345939756338
"x23","PoCG_R","-4.7739657227128935","2.1200303430334646",1.0,"1.0",0.0,"0.0",0.0,"0.0",-71.20938247394827
"x53","MOG_R","-1.022315764152454","0.45467497117490224",1.0,"1.0",0.0,"0.0",0.0,"0.0",-71.10235899423799
"x182","PIns_R","-2.0065511163319076","0.8924136778185564",1.0,"1.0",0.0,"0.0",0.0,"0.0",-71.10235899423789
"x71","Ins_R","-0.602841781873896","0.26811390316746203",1.0,"1.0",0.0,"0.0",0.0,"0.0",-71.10235899423782
"x11","IFG_opercularis_R","-1.9782608695651565","0.879831589598616",1.0,"1.0",0.0,"0.0",0.0,"0.0",-71.10235899423778
